pdbcode,resolution,year,pK,comment
3bxh,1.85,2008,4.03,(F6P)
3nq9,1.90,2010,4.03,(OCA)
4msn,2.30,2014,4.03,(2ZQ)
5e2l,2.50,2016,4.03,(DPN)
5nzf,1.75,2018,4.03,(G39)
6cze,2.30,2018,4.03,(ITT)
6hni,1.35,2019,4.03,(TYR)
1hi5,1.80,2001,4.04,(ADP)
1li2,2.00,2002,4.04,(IPH)
6i0z,1.77,2019,4.04,(GZQ)
6qlt,1.15,2019,4.04,(J5W)
2w66,2.27,2009,4.05,(HQ6)
3n8k,2.25,2010,4.05,(D1X)
3qx9,2.00,2011,4.05,(ATP)
5gof,1.60,2017,4.05,(GTP)
2clh,1.70,2007,4.06,(F19)
3m3c,2.00,2010,4.06,(3-mer)
5mge,1.95,2017,4.06,(7MX)
5om2,1.47,2018,4.06,(DXT)
8a3h,0.97,2000,4.06,(IDC)
1hyo,1.30,2001,4.07,(HBU)
2v2v,2.40,2007,4.07,(V12)
4xmr,1.30,2015,4.07,(ILE)
5mpz,1.40,2017,4.07,(4I8)
5ot9,2.45,2017,4.07,(AOZ)
6dai,1.63,2018,4.07,(G2V)
6i18,1.49,2019,4.07,(H0N)
2rke,1.80,2008,4.08,(SAT)
2z1w,1.63,2007,4.08,(BDI)
3kwa,2.00,2010,4.08,(SPM)
1ai7,2.50,1997,4.09,(IPH)
1o0n,1.50,2003,4.09,(U3P)
2v88,2.00,2007,4.09,(8-mer)
4b9z,2.00,2012,4.09,(ACR)
4fxp,1.95,2012,4.09,(ADX)
5var,1.83,2018,4.09,(92Y)
6d1i,1.10,2019,4.09,(T6Z)
1c5t,1.37,2000,4.10,(ESP)
1odj,2.40,2003,4.10,(GMP)
2bvs,1.40,2006,4.10,(2CE)
3gk1,2.10,2009,4.10,(32A)
3iod,1.75,2009,4.10,(A6D)
4cr9,1.70,2015,4.10,(OTW)
5cc2,2.50,2015,4.10,(CKA)
5kat,2.10,2016,4.10,(P4P)
5om3,2.00,2018,4.10,(DXT)
5t7s,1.90,2017,4.10,(LBT)
6dpy,1.91,2018,4.10,(H7A)
6ios,2.35,2019,4.10,(PRO)
1p19,2.30,2004,4.11,(IMP)
2exm,1.80,2005,4.11,(ZIP)
3d6o,1.58,2009,4.11,(U1S)
3oyw,2.50,2010,4.11,(TDG)
3v4t,2.50,2012,4.11,(UD1)
4ih5,1.90,2013,4.11,(12R)
5dnu,1.20,2016,4.11,(KKN)
5e6o,1.80,2016,4.11,(4-mer)
5fnc,2.20,2016,4.11,(IEE)
3a1d,1.85,2009,4.12,(ADP)
3ivc,2.13,2009,4.12,(FG4)
3mam,1.80,2011,4.12,(BET)
4de2,1.40,2012,4.12,(DN3)
4kxb,2.40,2013,4.12,(BES)
4qfn,2.30,2015,4.12,(2-mer)
4whs,1.35,2014,4.12,(3N8)
4zow,2.45,2015,4.12,(CLM)
6cvv,2.41,2018,4.12,(ATP)
3ozt,1.48,2011,4.13,(OZZ)
3qto,1.52,2012,4.13,(10P)
4ovf,2.05,2014,4.13,(2VG)
4yc0,1.50,2015,4.13,(5OF)
4i7m,1.48,2013,4.14,(2LP)
4ibi,1.47,2014,4.14,(1D8)
5dq8,2.31,2015,4.14,(FLF)
5lvq,2.05,2016,4.14,(2LX)
1m2x,1.50,2003,4.15,(MCO)
1q91,1.60,2004,4.15,(DPB)
2v2q,2.30,2007,4.15,(NVG)
2vt3,2.00,2008,4.15,(ATP)
2xg9,1.80,2010,4.15,(GLC-NOJ)
3a9i,1.80,2009,4.15,(LYS)
3d51,1.43,2008,4.15,(GOX)
3sur,1.90,2012,4.15,(NGT)
3sus,1.80,2012,4.15,(GNL)
4abh,1.25,2012,4.15,(7Z3)
4cr5,2.00,2015,4.15,(0TU)
4ibe,1.95,2014,4.15,(11Y)
4kz4,1.42,2014,4.15,(4A1)
5aan,1.60,2017,4.15,(XOC)
3si3,1.55,2012,4.16,(B03)
4jkw,2.01,2013,4.16,(IPE)
5fyx,1.80,2017,4.16,(FD6)
5ito,2.35,2016,4.16,(6DB)
1v2s,1.72,2004,4.17,(BEN)
3qfd,1.68,2011,4.17,(9-mer)
4oma,1.60,2014,4.17,(LCS)
5bw4,2.10,2016,4.17,(SAM)
5ldp,1.80,2017,4.17,(ATP)
3q2j,2.15,2011,4.18,(CKI)
5vgy,1.39,2017,4.18,(9AA)
6dy7,1.90,2019,4.18,(HH7)
1hi3,1.80,2001,4.19,(A2P)
3b3w,1.75,2007,4.19,(LEU)
3cft,1.87,2009,4.19,(5NS)
3sv2,1.30,2012,4.19,(P05)
4n9a,1.90,2013,4.19,(2J2)
4nra,1.85,2013,4.19,(2LW)
4q83,1.55,2015,4.19,(3FH)
1c5y,1.65,2000,4.20,(ESP)
1c87,2.10,2000,4.20,(OPA)
1ghw,1.75,2002,4.20,(BMZ)
3djp,1.60,2009,4.20,(UA3)
3qx5,1.35,2012,4.20,(02P)
5fcz,2.45,2016,4.20,(TNX)
5ot8,2.35,2017,4.20,(6DB)
1odi,2.40,2003,4.21,(ADN)
1qk4,1.90,1999,4.21,(IMP)
4bqs,2.15,2013,4.21,(K2Q)
4u6w,1.83,2015,4.21,(Q08)
5n99,1.50,2017,4.21,(5-mer)
5ti0,1.42,2017,4.21,(7CZ)
5wbo,2.25,2017,4.21,(A1Y)
1kv5,1.65,2002,4.22,(PGA)
1pzi,1.99,2004,4.22,(1DM)
1t5f,2.20,2005,4.22,(DHH)
1ua4,1.90,2004,4.22,(AMP)
3f80,1.60,2008,4.22,(6HN)
3kyq,2.44,2010,4.22,(DPV)
4gny,1.64,2013,4.22,(SDS)
4mo4,1.67,2014,4.22,(ACP)
4oak,2.00,2014,4.22,(2-mer)
5kh3,1.60,2016,4.22,(6U6)
2jke,1.70,2008,4.23,(NOJ)
2jkp,1.99,2008,4.23,(CTS)
3zqe,2.19,2011,4.23,(DXC)
4qfp,1.90,2015,4.23,(2-mer)
5fnr,1.89,2016,4.23,(XMS)
2bes,2.10,2004,4.24,(RES)
3h78,1.70,2009,4.24,(BE2)
5csp,1.50,2016,4.24,(54G)
5e13,1.34,2015,4.24,(5J9)
5f8y,1.70,2016,4.24,(X6X)
5oh2,1.90,2018,4.24,(BAQ)
5u0w,1.97,2017,4.24,(9MG)
5uff,2.14,2017,4.24,(8B7)
5ut6,1.65,2017,4.24,(8MY)
1li3,1.85,2002,4.25,(3CH)
5b2d,2.18,2016,4.25,(SLT)
5ei3,1.71,2016,4.25,(5O8)
5km9,1.45,2017,4.25,(ADN)
6d1j,1.15,2019,4.25,(7SX)
6dys,2.30,2019,4.25,(HJ1)
6mdu,1.15,2019,4.25,(N1G)
2qrk,1.75,2007,4.26,(AMP)
3qwc,1.75,2012,4.26,(98P)
4r0a,1.90,2015,4.26,(URI)
4u69,1.60,2015,4.26,(Q07)
5f9b,2.25,2016,4.26,(5VN)
6gnm,2.24,2018,4.26,(27M)
1m5w,1.96,2003,4.27,(DXP)
4qfo,2.30,2015,4.27,(2-mer)
5mgf,1.90,2017,4.27,(7MW)
6hh5,1.95,2018,4.27,(A3R)
2vzr,1.95,2009,4.28,(GCU)
3f5j,1.95,2009,4.28,(CTT)
3gta,1.70,2010,4.28,(851)
3jrs,2.05,2009,4.28,(A8S)
4ufj,2.20,2015,4.28,(IF7)
5f2r,2.15,2016,4.28,(ACP)
5l4j,1.62,2016,4.28,(6JD)
1e2l,2.40,2000,4.29,(TMC)
1v2l,1.60,2004,4.29,(BEN)
2wuf,1.90,2009,4.29,(KEM)
4i3z,2.05,2012,4.29,(ADP)
5mgj,2.10,2017,4.29,(7MX)
1a30,2.00,1998,4.30,(3-mer)
1amk,1.83,1997,4.30,(PGA)
1det,1.80,1996,4.30,(2GP)
1w3k,1.20,2004,4.30,(BGC-OXZ)
2cli,1.70,2007,4.30,(F9F)
3ivg,1.95,2009,4.30,(FG5)
3t0b,2.40,2012,4.30,(IPT)
3upk,2.00,2012,4.30,(UD1)
4eoh,2.10,2012,4.30,(TEP)
4ibk,1.85,2014,4.30,(1DE)
4k7o,1.98,2014,4.30,(EKZ)
4o61,1.90,2014,4.30,(CIT)
4zme,1.98,2015,4.30,(ADN)
5ewy,1.40,2016,4.30,(5TQ)
5jgi,1.38,2017,4.30,(AAG)
6fuj,2.25,2018,4.30,(E8B)
6q4g,0.98,2019,4.30,(HJK)
1ajq,2.05,1997,4.31,(SPA)
2tpi,2.10,1982,4.31,(2-mer)
4kow,1.45,2013,4.31,(CFX)
6ajr,1.34,2019,4.31,(URA)
6f20,2.00,2018,4.31,(C9E)
6ior,2.50,2019,4.31,(ASN)
2ha6,2.25,2006,4.32,(SCK)
2qtt,1.93,2008,4.32,(FMC)
4q7p,1.65,2015,4.32,(3MH)
4rsk,2.10,1998,4.32,(U3P)
4u43,2.18,2014,4.32,(3D8)
4ucc,2.05,2015,4.32,(ZKW)
5m28,1.08,2017,4.32,(MLR)
6jad,1.90,2019,4.32,(PAL)
1olx,2.25,2003,4.33,(TDP)
4ibj,1.54,2014,4.33,(1D9)
4zcs,2.45,2016,4.33,(CDC)
6czb,2.40,2018,4.33,(UTP)
6exj,1.80,2018,4.33,(7-mer)
6g29,1.70,2019,4.33,(EHK)
1e3v,2.00,2001,4.34,(DXC)
1z6s,1.50,2005,4.34,(AMP)
5n3v,1.12,2017,4.34,(8L5)
6ajz,1.30,2019,4.34,(LOC)
1ghv,1.85,2002,4.35,(120)
1sv3,1.35,2004,4.35,(ANN)
1yfz,2.20,2005,4.35,(IMP)
4owv,1.90,2014,4.35,(BE2)
5ka7,2.06,2017,4.35,(OTA)
6d1a,1.25,2019,4.35,(TWB)
6r1a,1.54,2019,4.35,(JP8)
1dy4,1.90,2000,4.36,(SNP)
2ez7,2.00,2006,4.36,(DHI)
4nbn,1.75,2013,4.36,(2J7)
1td7,2.50,2004,4.37,(NFL)
4gu9,2.40,2013,4.37,(4GU)
5oh7,1.85,2018,4.37,(HYN)
6qi4,1.78,2019,4.37,(FKW)
1bhf,1.80,1998,4.38,(5-mer)
3b24,1.70,2011,4.38,(B2J)
3u9q,1.52,2011,4.38,(DKA)
6hgj,1.83,2019,4.38,(AS4)
6mla,1.58,2019,4.38,(ARG)
6o5u,1.40,2019,4.38,(KAN)
2avq,1.30,2006,4.39,(2NC)
2hjb,1.85,2007,4.39,(PZM)
3djo,1.60,2009,4.39,(U2P)
4zt8,1.98,2015,4.39,(CYT)
5orh,1.75,2018,4.39,(A4N)
5zni,2.30,2019,4.39,(YMZ)
1p57,1.75,2004,4.40,(CR4)
2pwd,1.80,2007,4.40,(NOJ)
3wgg,2.10,2014,4.40,(8NA)
4abd,1.25,2012,4.40,(SW2)
4dy6,2.20,2012,4.40,(A22)
4omk,1.75,2015,4.40,(SQL)
4pp0,1.57,2014,4.40,(OP1)
5uv2,2.20,2017,4.40,(LA6)
1no6,2.40,2003,4.41,(794)
1olu,1.90,2003,4.41,(TDP)
2csn,2.50,1996,4.41,(CKI)
3rsx,2.48,2011,4.41,(RSV)
3uxd,1.80,2012,4.41,(0CU)
4exs,2.40,2012,4.41,(X8Z)
4ou3,1.95,2014,4.41,(6-mer)
5e74,1.78,2015,4.41,(5KH)
5ka9,2.07,2017,4.41,(OTA)
1tjp,1.50,2005,4.42,(HPF)
3dri,1.80,2009,4.42,(6-mer)
4cc5,1.88,2014,4.42,(L5V)
4ek9,2.50,2012,4.42,(EP4)
4q7s,1.80,2015,4.42,(2YU)
6h8s,1.77,2018,4.42,(FSZ)
2pu2,1.86,2008,4.43,(DK2)
2we3,2.00,2009,4.43,(DUT)
2wyf,2.40,2010,4.43,(GLA-MBG)
3kqr,1.50,2010,4.43,(OPE)
4axd,2.05,2012,4.43,(ANP)
4dsy,2.30,2012,4.43,(0LO)
4ibf,2.29,2014,4.43,(1D5)
4jpy,2.13,2013,4.43,(PHE)
4kcx,2.00,2013,4.43,(1QK)
4qf9,2.28,2015,4.43,(35K)
4ykj,1.40,2015,4.43,(ALA)
4zw5,1.80,2016,4.43,(4SA)
5f2p,1.80,2016,4.43,(5TY)
5g4o,1.48,2016,4.43,(O80)
5h5f,1.70,2017,4.43,(SAM)
5kad,1.90,2017,4.43,(OTA)
2amt,2.30,2006,4.44,(1AA)
3u81,1.13,2012,4.44,(SAH)
5azf,1.60,2015,4.44,(4-mer)
5d6j,2.25,2016,4.44,(ATP)
6np4,1.15,2019,4.44,(TOY)
6ppy,2.00,2019,4.44,(OVY)
2wbg,1.85,2009,4.45,(LGS)
6q3q,2.00,2018,4.45,(8-mer)
4gki,1.88,2012,4.46,(0JN)
4i8n,2.50,2012,4.46,(1CG)
5c3p,2.10,2015,4.46,(AKG)
5dpx,1.85,2017,4.46,(L3B)
5jox,1.80,2016,4.46,(EDG)
6fui,1.38,2018,4.46,(E7W)
2r2w,2.01,2007,4.47,(4PG)
3hl5,1.80,2009,4.47,(9JZ)
4cu8,2.50,2014,4.47,(DGJ)
6d1d,1.40,2019,4.47,(GTV)
6d1g,1.15,2019,4.47,(YKG)
6f05,2.20,2018,4.47,(GTS)
1jaq,2.40,1996,4.48,(01S)
1qan,2.40,2000,4.48,(SAH)
2ogy,2.30,2007,4.48,(C2F)
3p17,1.43,2011,4.48,(99P)
3t01,1.60,2011,4.48,(PPF)
4dhl,2.30,2012,4.48,(0K7)
4oks,2.25,2014,4.48,(2T9)
5ka1,1.84,2017,4.48,(OTA)
5ovv,1.40,2018,4.48,(7-mer)
5tya,1.50,2017,4.48,(7QS)
6d15,1.30,2019,4.48,(TWB)
1hi4,1.80,2001,4.49,(A3P)
1j14,2.40,2002,4.49,(BEN)
1o7o,1.97,2003,4.49,(UDP)
3hl8,1.55,2010,4.49,(BBP)
3kmy,1.90,2010,4.49,(D8Y)
4cwf,2.00,2014,4.49,(H05)
5isz,2.06,2017,4.49,(9-mer)
5t19,2.10,2017,4.49,(73U)
6b7a,1.99,2017,4.49,(CWM)
3sw8,1.70,2011,4.50,(5LI)
5ovx,2.10,2017,4.50,(AY5)
5yl2,2.09,2018,4.50,(8WU)
6jag,1.85,2019,4.50,(TRE)
1gi7,1.79,2002,4.51,(120)
2r1y,1.60,2008,4.51,(2-mer)
3aas,1.75,2010,4.51,(GUS)
3uug,1.75,2012,4.51,(BDP)
4abb,1.25,2012,4.51,(K9S)
4g90,1.90,2012,4.51,(0G0)
6nu1,2.25,2019,4.51,(CYS)
6qlq,1.08,2019,4.51,(J4E)
1ctt,2.20,1995,4.52,(DHZ)
1mrn,2.45,2003,4.52,(T5A)
1z4o,1.90,2005,4.52,(GL1)
2a4m,2.30,2005,4.52,(TRP)
2ra6,1.50,2007,4.52,(ETY)
2wm0,1.90,2010,4.52,(3-mer)
3bzf,2.50,2008,4.52,(9-mer)
3gy7,1.55,2010,4.52,(BEN)
3r6u,1.61,2011,4.52,(CHT)
4gzw,2.45,2012,4.52,(3-mer)
4trc,2.40,2014,4.52,(ADE)
5o1f,1.38,2018,4.52,(9GQ)
5vh0,2.06,2018,4.52,(8P0)
6nco,1.71,2019,4.52,(KQP)
6p88,1.70,2019,4.52,(O4G)
3h30,1.56,2009,4.53,(RFZ)
6i11,1.67,2019,4.53,(H0H)
1amw,1.85,1998,4.54,(ADP)
1b2h,1.90,1998,4.54,(3-mer)
1lyx,1.90,2003,4.54,(PGA)
1szd,1.50,2004,4.54,(APR)
2zz1,1.57,2009,4.54,(6CN)
2zz2,1.53,2009,4.54,(6CN)
3iub,1.50,2009,4.54,(FG2)
4b76,2.14,2012,4.54,(PW1)
5etb,1.33,2016,4.54,(5RO)
5u0d,1.59,2017,4.54,(7R7)
6p5o,1.49,2019,4.54,(O2Y)
6pga,2.45,2019,4.54,(OGM)
6pid,1.55,2019,4.54,(OKS)
3b2q,2.10,2008,4.55,(ATP)
3djv,1.60,2009,4.55,(C3P)
3p8p,2.50,2010,4.55,(LN6)
3ppq,1.91,2011,4.55,(CHT)
3rr4,1.68,2012,4.55,(HRD)
3suv,1.60,2012,4.55,(NOK)
4myd,1.37,2014,4.55,(164)
5c2o,2.35,2016,4.55,(TTP)
5oh4,2.30,2018,4.55,(9UZ)
5oss,1.70,2018,4.55,(AEZ)
6edr,2.40,2018,4.55,(ZNA)
6gnp,2.02,2018,4.55,(F4Z)
4x3k,1.45,2015,4.56,(7-mer)
5ost,2.10,2018,4.56,(AEZ)
4fp1,1.68,2013,4.57,(BFM)
4or4,2.21,2015,4.57,(M7G)
4yrd,2.44,2015,4.57,(3IT)
5ko5,1.36,2017,4.57,(CYT)
5ovr,2.15,2017,4.57,(AXK)
6np5,1.35,2019,4.57,(9CS)
4bi7,1.60,2013,4.58,(PGA)
5j7q,2.05,2016,4.58,(6H2)
5u0g,1.54,2017,4.58,(7QY)
1bma,1.80,1995,4.59,(0QH)
2ihj,2.00,2007,4.59,(CSF)
2jiw,1.95,2007,4.59,(BEU)
3hp9,1.60,2010,4.59,(CF1)
3ujc,1.19,2011,4.59,(PC)
4c6u,2.40,2013,4.59,(TLG)
4g8y,1.80,2012,4.59,(0FT)
5k9w,2.01,2017,4.59,(OTA)
6fnq,1.75,2018,4.59,(AVJ)
1pa9,2.00,2003,4.60,(CSN)
1tx7,1.75,2005,4.60,(4CM)
1u33,1.95,2004,4.60,(LM2)
1upf,2.30,1999,4.60,(URF)
2pyy,2.10,2008,4.60,(GLU)
2v54,2.40,2008,4.60,(TYD)
2vb8,1.52,2007,4.60,(TLM)
2vba,1.36,2007,4.60,(P4T)
2wlz,1.82,2010,4.60,(2-mer)
2x0y,2.25,2010,4.60,(X0T)
3d7k,2.49,2008,4.60,(D7K)
3vhk,2.49,2012,4.60,(BPK)
4bc5,1.98,2012,4.60,(5FX)
4jal,2.00,2013,4.60,(SAH)
4p58,2.06,2014,4.60,(2F6)
6n5x,2.05,2019,4.60,(JEF)
6p87,1.90,2019,4.60,(O4P)
6pgb,1.73,2019,4.60,(OJG)
6qe0,1.39,2019,4.60,(HZ2)
2bo4,1.95,2005,4.61,(FLC)
3lgs,2.20,2010,4.61,(SAH)
4io4,1.94,2013,4.61,(SER)
4ocq,1.88,2014,4.61,(A2G)
5ulp,1.55,2017,4.61,(KB1)
6eq1,2.10,2018,4.61,(STW)
1f4f,2.00,2000,4.62,(TP3)
2a5c,2.50,2006,4.62,(8DA)
2f6t,1.70,2005,4.62,(1C2)
2xm2,1.95,2011,4.62,(LOG)
3f5k,1.80,2009,4.62,(CE5)
3tk2,1.35,2012,4.62,(PHE)
3u90,1.90,2012,4.62,(SDS)
3umq,2.20,2012,4.62,(BUA)
4abf,1.30,2012,4.62,(513)
4ad3,2.00,2012,4.62,(GLC-DMJ)
4ynl,2.10,2015,4.62,(6-mer)
5jgq,1.60,2017,4.62,(6JY)
6f1j,1.25,2018,4.62,(EDG)
3uj9,1.24,2011,4.63,(PC)
4hzm,1.45,2013,4.63,(1BW)
5ji8,1.42,2016,4.63,(6KT)
5n34,1.22,2017,4.63,(8JQ)
4psb,1.42,2014,4.64,(GA3)
5e73,1.71,2015,4.64,(UO1)
5jhk,1.80,2017,4.64,(6K8)
6qlu,1.10,2019,4.64,(J62)
3qtv,1.63,2012,4.65,(06P)
4q93,2.10,2014,4.65,(STL)
4w9c,2.20,2014,4.65,(3JG)
6b98,1.97,2017,4.65,(D07)
1bzj,2.25,1999,4.66,(PIC)
1h4w,1.70,2002,4.66,(BEN)
1m1b,2.25,2002,4.66,(SPV)
2ca8,2.49,2006,4.66,(GSH)
2ha2,2.05,2006,4.66,(SCK)
3ddf,1.20,2008,4.66,(GB6)
3mss,1.95,2010,4.66,(MS7)
4tt2,2.50,2014,4.66,(6-mer)
5j1r,1.92,2017,4.66,(6FG)
5o1d,1.36,2018,4.66,(9GW)
6ezq,2.39,2017,4.66,(C7K)
6g2c,1.76,2019,4.66,(EHT)
6ooy,2.50,2019,4.66,(A7M)
6pg7,2.45,2019,4.66,(OH4)
6qln,1.00,2019,4.66,(J5Q)
3vw1,2.21,2013,4.67,(CVI)
4gkh,1.86,2012,4.67,(0J9)
4nku,1.94,2013,4.67,(2-mer)
5jsq,1.50,2016,4.67,(6MS)
1c5p,1.43,2000,4.68,(BAM)
1wn6,1.80,2005,4.68,(BST)
2nsl,2.00,2007,4.68,(C2R)
2uy4,1.75,2007,4.68,(AZM)
2ypo,2.00,2013,4.68,(PHE)
3g35,1.41,2009,4.68,(F13)
4lar,2.38,2013,4.68,(1WE)
4ymg,1.90,2015,4.68,(SAM)
5a5q,1.97,2015,4.68,(6XC)
5aoj,1.47,2015,4.68,(Y0V)
5eq1,1.55,2016,4.68,(BEA)
5fe9,2.35,2016,4.68,(5WS)
5k1d,1.94,2017,4.68,(5GP)
5kab,1.97,2017,4.68,(OTA)
6bm6,1.50,2018,4.68,(SAH)
6ift,1.90,2019,4.68,(SAM)
2rio,2.40,2008,4.69,(ADP)
3ujd,1.50,2011,4.69,(PC)
4agp,1.50,2012,4.69,(P51)
4mgd,1.90,2014,4.69,(27N)
4tpw,1.50,2014,4.69,(33R)
6mg5,1.80,2019,4.69,(6ZW)
1c5n,1.50,2000,4.70,(ESI)
1c86,2.30,2000,4.70,(OPA)
2cex,2.20,2006,4.70,(DAN)
2dw7,2.50,2006,4.70,(SRT)
2fu8,1.80,2007,4.70,(MCO)
2i2c,1.85,2007,4.70,(DTA)
3kiv,1.80,1999,4.70,(ACA)
3nkk,1.12,2010,4.70,(JLZ)
3suw,1.90,2012,4.70,(GC2)
4j7d,1.25,2013,4.70,(I31)
4j93,1.74,2013,4.70,(1JR)
4luz,1.90,2013,4.70,(1XT)
4lzr,1.85,2014,4.70,(LOC)
5h85,1.70,2017,4.70,(5XS)
5wbm,2.16,2017,4.70,(A4G)
6fba,2.00,2018,4.70,(D48)
6gj6,1.76,2019,4.70,(EZZ)
6jbe,1.75,2019,4.70,(GLC)
6p86,1.80,2019,4.70,(O4S)
6r13,1.65,2019,4.70,(JOK)
1v2t,1.90,2004,4.71,(ANH)
4ljh,1.45,2013,4.71,(GAL-MHD)
4yb5,2.24,2016,4.71,(HIS)
5his,1.77,2016,4.71,(60P)
5kma,1.55,2017,4.71,(777)
5otc,2.20,2017,4.71,(AQK)
6evn,1.48,2018,4.71,(9-mer)
6ueg,2.00,2019,4.71,(Q5G)
184l,1.80,1995,4.72,(I4B)
1vso,1.85,2007,4.72,(AT1)
3ebo,1.90,2009,4.72,(57D)
3f6g,2.00,2009,4.72,(ILE)
4zw7,1.95,2016,4.72,(4SZ)
5hjq,2.30,2016,4.72,(I3P)
6qqw,1.80,2019,4.72,(JDQ)
1v2o,1.62,2004,4.73,(ANH)
4ayu,1.50,2013,4.73,(N8P)
5gmn,1.80,2017,4.73,(949)
1bty,1.50,1995,4.74,(BEN)
1w4p,1.69,2005,4.74,(UM3)
2e2p,2.00,2007,4.74,(ADP)
4ih6,2.20,2013,4.74,(1EP)
4jxs,1.90,2014,4.74,(18U)
4kyk,2.00,2013,4.74,(IMN)
5k03,1.81,2016,4.74,(6P4)
5ov8,1.80,2018,4.74,(AXN)
6eq5,1.80,2018,4.74,(AX7)
6szp,1.76,2019,4.74,(M3B)
6t1j,1.97,2019,4.74,(M7T)
3nim,2.00,2010,4.75,(4-mer)
3vw2,2.34,2013,4.75,(BER)
1q8t,2.00,2003,4.76,(Y27)
3acw,1.63,2010,4.76,(651)
3o5n,1.83,2011,4.76,(BR0)
4wop,2.39,2015,4.76,(CTP)
5lne,2.20,2016,4.76,(2-mer)
1str,1.80,1996,4.77,(6-mer)
2afw,1.56,2005,4.77,(AHN)
2b4l,2.00,2006,4.77,(BET)
3d50,1.79,2008,4.77,(OEV)
3iqu,1.05,2010,4.77,(6-mer)
3rm9,2.10,2011,4.77,(613)
4kax,1.85,2013,4.77,(GTP)
4uoh,2.01,2014,4.77,(ADP)
5iyy,1.60,2017,4.77,(R40)
5mkr,1.87,2017,4.77,(TI8)
5mks,1.99,2017,4.77,(TI8)
5o5a,1.60,2018,4.77,(9LN)
5orj,1.99,2018,4.77,(A4Q)
6fgg,1.10,2018,4.77,(D9B)
6mkw,2.32,2019,4.77,(HIS)
6t1l,2.00,2019,4.77,(M7N)
4ad6,1.85,2013,4.78,(GSY)
6czc,2.30,2018,4.78,(TTP)
1oss,1.93,2003,4.79,(BEN)
2nsj,2.31,2007,4.79,(C2R)
3eb1,2.40,2009,4.79,(LZQ)
5k1f,1.94,2017,4.79,(IMP)
1bju,1.80,1998,4.80,(GP6)
1ghz,1.39,2002,4.80,(120)
2nta,2.10,2007,4.80,(521)
3bpc,1.85,2009,4.80,(2-mer)
3dnd,2.26,2009,4.80,(LL2)
4aq6,1.98,2013,4.80,(OMD)
4llp,1.75,2014,4.80,(4ZE)
4lzs,2.20,2014,4.80,(L46)
4pb2,2.30,2014,4.80,(5UD)
5j3l,1.66,2017,4.80,(6FR)
5jzi,2.50,2017,4.80,(10-mer)
6jap,1.77,2019,4.80,(SUC)
4ago,1.45,2012,4.81,(P74)
6p84,1.70,2019,4.81,(O3V)
1aid,2.20,1997,4.82,(THK)
1dud,2.30,1996,4.82,(DUD)
1f8e,1.40,2001,4.82,(49A)
1v1j,2.20,2005,4.82,(FA3)
1xff,1.80,2004,4.82,(GLU)
1y3p,2.00,2005,4.82,(4-mer)
2gl0,2.25,2006,4.82,(ADN)
2gzl,2.50,2006,4.82,(2AA)
2pwg,2.20,2007,4.82,(CTS)
2ypi,2.50,1991,4.82,(PGA)
3kmx,1.70,2010,4.82,(G00)
3r88,1.73,2012,4.82,(14F)
3vd4,2.00,2012,4.82,(IPT)
4ciw,2.20,2014,4.82,(XH2)
4fys,2.01,2012,4.82,(6-mer)
4ih3,2.49,2014,4.82,(PDC)
4io6,1.60,2013,4.82,(MET)
4kwf,2.31,2014,4.82,(3AK)
4rlu,2.20,2015,4.82,(HCC)
5ewa,2.30,2016,4.82,(9BZ)
6aox,2.10,2018,4.82,(TF0)
6d17,1.45,2019,4.82,(VKE)
6h2t,1.67,2018,4.82,(GLU)
6qlr,0.97,2019,4.82,(J4N)
5efa,1.90,2015,4.83,(MGT)
3vvy,1.63,2013,4.84,(ET)
4kif,2.50,2014,4.84,(PPY)
4uof,2.10,2014,4.84,(DAT)
5d1r,2.00,2015,4.84,(56S)
6jfk,2.00,2019,4.84,(GDP)
186l,1.80,1995,4.85,(N4B)
1c83,1.80,2000,4.85,(OAI)
1ecv,1.95,2000,4.85,(878)
1n51,2.30,2003,4.85,(4-mer)
1qji,2.14,2000,4.85,(PKF)
1xgi,1.96,2005,4.85,(NST)
2qwd,2.00,1998,4.85,(4AM)
2r9x,1.90,2008,4.85,(WH6)
2w4x,2.42,2009,4.85,(STZ)
3cj2,1.75,2008,4.85,(SX3)
3f70,2.10,2009,4.85,(MLZ)
3ohi,2.30,2011,4.85,(HDX)
3ru1,2.30,2011,4.85,(3RU)
3zyf,1.94,2011,4.85,(147)
4hpi,1.19,2013,4.85,(3-mer)
4iic,1.90,2013,4.85,(IFM)
4j7e,1.63,2013,4.85,(I29)
4ovh,2.25,2014,4.85,(2VE)
4q87,1.55,2015,4.85,(4FH)
5efc,1.90,2015,4.85,(GTP)
5ewk,1.60,2016,4.85,(P34)
5jsg,2.50,2017,4.85,(6P9)
5o1h,1.32,2018,4.85,(9GN)
6gga,1.55,2019,4.85,(EY2)
2brb,2.10,2005,4.86,(PFQ)
5yfs,2.30,2018,4.86,(RI2)
6jao,1.77,2019,4.86,(PAL)
4ipj,2.15,2013,4.87,(LMR)
4q0k,1.34,2014,4.87,(GA3)
4rlw,2.20,2015,4.87,(BUN)
4rra,1.70,2015,4.87,(A3T)
3exh,2.44,2008,4.88,(TPP)
3lp4,1.90,2010,4.88,(LYS)
3pju,2.50,2011,4.88,(C2E)
5nwe,2.00,2018,4.88,(G39)
6jon,2.34,2019,4.88,(DTP)
